20,19/20,Saudi Abdul L. Jameel League,1,Saudi Arabia
8,19/20,,,
12,19/20,Mexican Liga MX,1,Mexico
42,19/20,Czech Republic Gambrinus Liga,1,Czech Republic
16,19/20,Spanish Segunda División,2,Spain
19,19/20,English League Championship,2,England
9,19/20,Danish Superliga,1,Denmark
25,19/20,Swiss Super League,1,Switzerland
32,19/20,Swedish Allsvenskan,1,Sweden
26,19/20,German 2. Bundesliga,2,Germany
28,19/20,Colombian Liga Postobón,1,Colombia
21,19/20,Austrian Football Bundesliga,1,Austra
23,19/20,Scottish Premiership,1,Scotland
33,19/20,French Ligue 2,2,France
29,19/20,Norwegian Eliteserien,1,Norway
13,19/20,Australian Hyundai A-League,1,Australia
27,19/20,Chilian Campeonato Nacional,1,Chile
31,19/20,Polish T-Mobile Ekstraklasa,1,Poland
30,19/20,Italian Serie B,2,Italy
17,19/20,Korean K League Classic,1,Korean
47,19/20,Romanian Liga I,1,Romania
35,19/20,English League One,3,England
43,19/20,German 3. Bundesliga,3,Germany
37,19/20,Rep. Ireland Airtricity League,1,Ireland
36,19/20,English League Two,4,England
0,20/21,Spain Primera Division,1,Spain
4,20/21,Italian Serie A,1,Italy
1,20/21,German 1. Bundesliga,1,Germany
2,20/21,French Ligue 1,1,France
3,20/21,English Premier League,1,England
7,20/21,Portuguese Liga ZON SAGRES,1,Portugal
14,20/21,Holland Eredivisie,1,Netherlands
10,20/21,USA Major League Soccer,1,United States
44,20/21,Chinese Super League,1,China PR
20,20/21,Saudi Abdul L. Jameel League,1,Saudi Arabia
5,20/21,Turkish Süper Lig,1,Turkey
38,20/21,Campeonato Brasileiro Série A,1,Brazil
6,20/21,Russian Premier League,1,Russia
18,20/21,Argentina Primera División,1,Argentina
40,20/21,Japanese J. League Division 1,1,Japan
12,20/21,Mexican Liga MX,1,Mexico
24,20/21,Belgian Jupiler Pro League,1,Belgium
11,20/21,Ukrainian Premier League,1,Ukraina
8,20/21,,,
45,20/21,Croatian Prva HNL,1,Crotia
19,20/21,English League Championship,2,England
15,20/21,Greek Super League,1,Greece
16,20/21,Spanish Segunda División,2,Spain
42,20/21,Czech Republic Gambrinus Liga,1,Czech Republic
25,20/21,Swiss Super League,1,Switzerland
23,20/21,Scottish Premiership,1,Scotland
33,20/21,French Ligue 2,2,France
27,20/21,Chilian Campeonato Nacional,1,Chile
21,20/21,Austrian Football Bundesliga,1,Austra
30,20/21,Italian Serie B,2,Italy
48,20/21,Uruguayan Primera División,1,Uruguay
9,20/21,Danish Superliga,1,Denmark
49,20/21,Paraguayan Primera División,1,Paraguay
28,20/21,Colombian Liga Postobón,1,Colombia
26,20/21,German 2. Bundesliga,2,Germany
13,20/21,Australian Hyundai A-League,1,Australia
29,20/21,Norwegian Eliteserien,1,Norway
50,20/21,UAE Arabian Gulf League,1,United Arab Emirates
17,20/21,Korean K League Classic,1,Korean
31,20/21,Polish T-Mobile Ekstraklasa,1,Poland
32,20/21,Swedish Allsvenskan,1,Sweden
51,20/21,Ecuadorian Serie A,1,Ecuador
22,20/21,South African Premier Division,1,South Africa
47,20/21,Romanian Liga I,1,Romania
43,20/21,German 3. Bundesliga,3,Germany
52,20/21,Peruvian Primera División,1,Peru
37,20/21,Rep. Ireland Airtricity League,1,Ireland
35,20/21,English League One,3,England
41,20/21,Finnish Veikkausliiga,1,Finland
53,20/21,Argentinian Primera B Nacional,2,Argentina
54,20/21,Liga de Fútbol Profesional Boliviano,1,Bolivia
55,20/21,Venezuelan Primera División,1,Venezuela
36,20/21,English League Two,4,England
